Date,Close,Mahadasha,Antardasha,SMI_Base,Tithi,Nakshatra,Nithya_Yoga,Aspect_Mars_Saturn,Aspect_Jup_Sun,Aspect_Rahu_Mars,Vedha_Score,Sun_Deg,Sun_Speed,Moon_Deg,Moon_Speed,Mercury_Deg,Mercury_Speed,Venus_Deg,Venus_Speed,Mars_Deg,Mars_Speed,Jupiter_Deg,Jupiter_Speed,Saturn_Deg,Saturn_Speed,Uranus_Deg,Uranus_Speed,Neptune_Deg,Neptune_Speed,Pluto_Deg,Pluto_Speed,True_Node_Deg,True_Node_Speed,Lilith_Deg,Lilith_Speed,Ketu_Deg,Ketu_Speed
2009-08-12,14.78,Rahu,Rahu,3.5,22,1,10,3,2,0,0,115.918,0.9598,9.926,13.1659,140.492,1.3846,79.275,1.1697,57.43,0.6597,298.367,-0.1307,146.614,0.1131,331.957,-0.0299,301.225,-0.0272,246.891,-0.0146,276.05,-0.0223,266.139,0.0436,96.05,0
2009-08-13,14.96,Rahu,Rahu,3.5,23,2,11,3,2,0,1,116.878,0.9602,23.251,13.4889,141.862,1.3551,80.445,1.1713,58.089,0.6581,298.236,-0.1309,146.727,0.1137,331.927,-0.0304,301.198,-0.0272,246.877,-0.0142,276.037,-0.0039,266.185,0.049,96.037,0
2009-08-14,14.74,Rahu,Rahu,3.5,24,3,12,3,2,0,1,117.838,0.9606,36.911,13.8339,143.202,1.3251,81.618,1.1728,58.746,0.6565,298.105,-0.131,146.841,0.1143,331.896,-0.0309,301.171,-0.0273,246.863,-0.0137,276.041,0.0122,266.237,0.0542,96.041,0
2009-08-17,14.27,Rahu,Rahu,7.0,27,6,16,3,2,0,1,120.722,0.9619,79.918,14.7775,147.037,1.2299,85.143,1.1774,60.708,0.6516,297.713,-0.1307,147.187,0.1161,331.801,-0.0324,301.089,-0.0273,246.823,-0.0124,276.1,0.0161,266.422,0.0693,96.1,0
2009-08-18,14.41,Rahu,Rahu,7.0,28,8,17,3,2,0,1,121.684,0.9623,94.793,14.9536,148.25,1.1962,86.321,1.1789,61.359,0.6499,297.582,-0.1304,147.303,0.1166,331.768,-0.0329,301.062,-0.0273,246.811,-0.012,276.109,0.0016,266.494,0.0741,96.109,0
2009-08-19,14.68,Rahu,Rahu,3.5,29,9,18,3,2,0,0,122.646,0.9627,109.784,15.0057,149.429,1.1611,87.501,1.1803,62.008,0.6481,297.452,-0.13,147.42,0.1172,331.735,-0.0334,301.034,-0.0273,246.799,-0.0115,276.101,-0.0194,266.571,0.0788,96.101,0
2009-08-20,14.8,Rahu,Rahu,3.5,1,10,19,3,2,0,0,123.609,0.9631,124.757,14.9165,150.572,1.1247,88.682,1.1817,62.655,0.6463,297.322,-0.1295,147.537,0.1177,331.702,-0.0338,301.007,-0.0273,246.788,-0.0111,276.07,-0.0424,266.652,0.0833,96.07,0
2009-08-21,15.22,Rahu,Rahu,3.5,2,11,20,3,2,0,0,124.573,0.9635,139.571,14.6888,151.678,1.0866,89.864,1.1831,63.301,0.6445,297.193,-0.1289,147.655,0.1182,331.668,-0.0343,300.98,-0.0273,246.777,-0.0106,276.017,-0.0626,266.737,0.0877,96.017,0
2009-08-24,15.42,Rahu,Rahu,3.5,5,14,24,3,0,0,1,127.465,0.9645,181.941,13.4774,154.753,0.9606,93.419,1.187,65.226,0.639,296.81,-0.1265,148.012,0.1195,331.563,-0.0354,300.898,-0.0271,246.748,-0.0092,275.81,-0.0591,267.019,0.1001,95.81,0
2009-08-25,15.18,Rahu,Rahu,3.5,6,15,25,3,0,0,1,128.429,0.9649,195.197,13.0377,155.691,0.914,94.607,1.1883,65.864,0.6372,296.684,-0.1255,148.132,0.1199,331.527,-0.0358,300.871,-0.027,246.739,-0.0087,275.757,-0.0463,267.121,0.1039,95.757,0
2009-08-26,15.25,Rahu,Rahu,1.5,7,16,26,3,0,0,1,129.394,0.9652,208.032,12.6414,156.58,0.8646,95.796,1.1896,66.5,0.6353,296.559,-0.1244,148.252,0.1203,331.491,-0.0362,300.844,-0.027,246.73,-0.0082,275.718,-0.0291,267.227,0.1076,95.718,0
2009-08-27,15.2,Rahu,Rahu,1.5,8,17,27,3,0,0,1,130.36,0.9656,220.502,12.311,157.419,0.8124,96.986,1.1909,67.135,0.6334,296.435,-0.1232,148.372,0.1207,331.455,-0.0365,300.817,-0.0269,246.722,-0.0078,275.701,-0.0038,267.336,0.1112,95.701,0
2009-08-28,15.17,Rahu,Rahu,1.5,9,18,1,3,0,0,1,131.325,0.9659,232.68,12.0591,158.204,0.7569,98.178,1.1922,67.767,0.6316,296.312,-0.122,148.493,0.1211,331.418,-0.0368,300.79,-0.0268,246.715,-0.0073,275.71,0.0205,267.449,0.1147,95.71,0
2009-08-31,14.88,Rahu,Rahu,4.0,12,21,4,0,0,0,1,134.225,0.9671,268.277,11.7894,160.2,0.5682,101.76,1.196,69.653,0.6258,295.953,-0.1177,148.858,0.122,331.307,-0.0377,300.711,-0.0264,246.695,-0.0058,275.789,0.0131,267.809,0.1247,95.789,0
